Estimate,Std. Error,df,t value,Pr(>|t|),var,Std_Coefficient,CI_low,CI_high,std_SE,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,model_spe,factor,intervention,AME,SE,z,p,lower,upper
0.67730709,0.020418754,48.1418305,33.17083303,8.08E-35,(Intercept),-0.12201418,-0.212306706,-0.031721655,0.046068123,0.008079785,0.004023954,0.089887627,0.063434645,1863,164855,0.667544551,comment|video|creator,treatment,cm_knowledge_bi,base,,,,,,,,
0.01046701,0.027027748,49.67099544,0.387269026,0.700211495,interventionC+M,0.023614513,-0.095903202,0.143132228,0.060979099,0.008079785,0.004023954,0.089887627,0.063434645,1863,164855,0.667544551,comment|video|creator,treatment,cm_knowledge_bi,base,,,,,,,,
0.009038521,0.029590701,46.63735446,0.305451383,0.761381602,interventionMO,0.020391739,-0.11045954,0.151243019,0.066761593,0.008079785,0.004023954,0.089887627,0.063434645,1863,164855,0.667544551,comment|video|creator,treatment,cm_knowledge_bi,base,,,,,,,,
-0.019158056,0.01242686,1507.984198,-1.541665074,0.12336481,prepost_b_daPost,-0.043223062,-0.098173947,0.011727824,0.028036475,0.008079785,0.004023954,0.089887627,0.063434645,1863,164855,0.667544551,comment|video|creator,treatment,cm_knowledge_bi,base,,,,,,,,
0.018549215,0.016533014,1537.655605,1.12195,0.262058867,interventionC+M:prepost_b_daPost,0.041849508,-0.031258567,0.114957583,0.03730045,0.008079785,0.004023954,0.089887627,0.063434645,1863,164855,0.667544551,comment|video|creator,treatment,cm_knowledge_bi,base,,,,,,,,
0.032235359,0.015489892,1321.360254,2.081057753,0.037620814,interventionMO:prepost_b_daPost,0.072727061,0.004231626,0.141222496,0.034947036,0.008079785,0.004023954,0.089887627,0.063434645,1863,164855,0.667544551,comment|video|creator,treatment,cm_knowledge_bi,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,base,prepost_b_daPost,Control,-0.019158056,0.01242686,-1.541665074,0.123155003,-0.043514254,0.005198142
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,base,prepost_b_daPost,C+M,-0.000608841,0.010904756,-0.055832578,0.955475182,-0.02198177,0.020764089
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_knowledge_bi,base,prepost_b_daPost,MO,0.013077303,0.009247156,1.414197306,0.157303979,-0.00504679,0.031201396
0.393264379,0.042226345,47.17223723,9.313246985,2.92E-12,(Intercept),0.37414637,0.178864023,0.569428718,0.09963495,0.016980583,0.022437886,0.130309568,0.14979281,1863,164855,0.430777344,comment|video|creator,treatment,cm_express_appreciation,base,,,,,,,,
-0.018220387,0.055641833,47.16425255,-0.327458428,0.744770269,interventionC+M,-0.042991818,-0.300316192,0.214332557,0.131289395,0.016980583,0.022437886,0.130309568,0.14979281,1863,164855,0.430777344,comment|video|creator,treatment,cm_express_appreciation,base,,,,,,,,
-0.055270304,0.060818968,47.24893746,-0.908767544,0.368085126,interventionMO,-0.13041273,-0.411679575,0.150854115,0.143505076,0.016980583,0.022437886,0.130309568,0.14979281,1863,164855,0.430777344,comment|video|creator,treatment,cm_express_appreciation,base,,,,,,,,
0.036246775,0.015666869,1509.750509,2.313594077,0.020823759,prepost_b_daPost,0.085525866,0.013071987,0.157979744,0.036966673,0.016980583,0.022437886,0.130309568,0.14979281,1863,164855,0.430777344,comment|video|creator,treatment,cm_express_appreciation,base,,,,,,,,
-0.0459265,0.020829115,1505.0782,-2.20491846,0.027610598,interventionC+M:prepost_b_daPost,-0.1083656,-0.204693089,-0.012038111,0.04914722,0.016980583,0.022437886,0.130309568,0.14979281,1863,164855,0.430777344,comment|video|creator,treatment,cm_express_appreciation,base,,,,,,,,
-0.06903456,0.019895255,1354.793567,-3.469900772,0.000536995,interventionMO:prepost_b_daPost,-0.162890094,-0.254898803,-0.070881385,0.046943737,0.016980583,0.022437886,0.130309568,0.14979281,1863,164855,0.430777344,comment|video|creator,treatment,cm_express_appreciation,base,,,,,,,,
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_express_appreciation,base,prepost_b_daPost,Control,0.036246775,0.015666869,2.313594075,0.020689999,0.005540276,0.066953274
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_express_appreciation,base,prepost_b_daPost,C+M,-0.009679724,0.013725933,-0.705214302,0.480676882,-0.036582059,0.01722261
,,,,,,,,,,,,,,,,,comment|video|creator,treatment,cm_express_appreciation,base,prepost_b_daPost,MO,-0.032787785,0.01226256,-2.673812358,0.00749944,-0.056821961,-0.008753609
