Estimate,Std. Error,df,t value,Pr(>|t|),Std_Coefficient,CI_low,CI_high,std_SE,var,between_var,within_var,between_var_std,within_var_std,n_group,n_all,vpc,type,x,y,m,model_spe,factor_no,intervention_no,moderation_no,ame_no,SE_no,z_no,p_no,lower_no,upper_no,factor_yes,intervention_yes,moderation_yes,ame_yes,SE_yes,z_yes,p_yes,lower_yes,upper_yes
0.671861539,0.0456254,85.26021045,14.72560333,3.84E-25,-0.134299806,-0.336054541,0.06745493,0.102937225,(Intercept),0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
-0.105843037,0.062943433,75.57717527,-1.681558067,0.096782677,-0.238794347,-0.517129271,0.039540576,0.142009181,interventionC+M,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
0.012256151,0.05936319,90.68352272,0.206460451,0.8368941,0.027651688,-0.234851251,0.290154627,0.133931548,interventionMO,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
-0.049171063,0.04427352,4902.48887,-1.110620123,0.266786365,-0.110935849,-0.30671103,0.084839332,0.099886398,prepost_b_daPost,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
0.010458835,0.051043554,70.13774757,0.204900204,0.838243572,0.023596612,-0.202117303,0.249310527,0.115161431,moderationYes,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
0.160104796,0.057945924,3698.678905,2.763003609,0.00575554,0.361216113,0.104982233,0.617449993,0.130733014,interventionC+M:prepost_b_daPost,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
0.04929777,0.052696737,3536.244575,0.935499492,0.349594823,0.111221759,-0.121800432,0.34424395,0.118890185,interventionMO:prepost_b_daPost,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
0.130599488,0.069726478,65.94543456,1.873025737,0.065498093,0.294647478,-0.013682167,0.602977124,0.157312779,interventionC+M:moderationYes,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
-0.002880221,0.068891938,66.23378589,-0.041807806,0.966777689,-0.006498824,-0.311138138,0.298140491,0.155429937,interventionMO:moderationYes,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
0.03246893,0.046115008,4355.565397,0.704085956,0.481416885,0.073253722,-0.130664414,0.277171858,0.104041013,prepost_b_daPost:moderationYes,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
-0.154305085,0.060441809,3441.269374,-2.552952788,0.010724189,-0.348131113,-0.615401656,-0.08086057,0.136364027,interventionC+M:prepost_b_daPost:moderationYes,0.007997195,0.00392771,0.089427039,0.062671444,1863,164855,0.670629679,comment|video|creator,treatment,cm_knowledge_bi,largefollow,moderation,,,,,,,,,,,,,,,,,,
